"","prefix","Replicate","Generation","mean.fitness","mean.prop.SL","Schedule","mean.learning.rate","mean.learning.rate.SL","mean.learning.episodes","mean.best.fitness","environmental.mean.location","sch_num_n1","sch_num_0","sch_num_1","perfrom","folder","seed","init_w_range","init_lr_range","init_le_mean","init_prop_sl","mut_rate_w","mut_step_w","lr_homogenous","mut_rate_lr","mut_step_lr","le_homogenous","mut_rate_le","mut_step_le","mut_rate_sl","mut_step_sl","N","G","lifespan","extrapolate_from","nr_replicates","env_sample_size","env_range","init_mean_env","sd_env","env_change","env_change_sd","env_change_type","env_change_rate","SL_type","IL_type","cue_type","sl_homogenous","one_social_parent","success_bias","sl_speed","mut_rate_schedule","differential_learning_rates","schedule_init","file_rep","f","M","f_M","f_M_simple","colSpaces","row","xLabs","Change","Rate","SD","IL","SL","ScheduleFactor","scheduleMode","Performance"
"21","3_sd_env_0.1_env_change_0.1_env_change_rate_1_IL_type_Guided_",0,"G-2000",283.362456084853,0.16877036067911,-0.937670164917541,0.704324444296402,0.634976520961569,26.76264017991,318.95405176022,-0.0891596171587706,953.189905047476,31.2903548225887,15.519740129935,0.888235281381284,"D:/Groningen_Research/MS_Data/RedoModes_SL_Improved",793079,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,20000,500,30,10,10,1,0,0.1,0.1,0.05,"random",1,"ChooseParentLearnParent","Guided","Random","true","false","true",10,0.01,"true",0,"3_0",1,0.1,"Change: 0.1 (1)","0.1 (1)","Change: 1z","Env SD: 0.1","PB",0.1,1,0.1,"PB","True Imitiation","-1","-1",0.888411526742028
"22","3_sd_env_0.1_env_change_0.1_env_change_rate_1_IL_type_Guided_",1,"G-2000",282.787612388506,0.217614234185707,-0.940976511744128,0.397070777318691,0.2185784048001,37.1793893053473,312.826471277211,0.0846277404364593,952.974012993503,35.0284857571214,11.9975012493753,0.903976878033909,"D:/Groningen_Research/MS_Data/RedoModes_SL_Improved",793079,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,20000,500,30,10,10,1,0,0.1,0.1,0.05,"random",1,"ChooseParentLearnParent","Guided","Random","true","false","true",10,0.01,"true",0,"3_1",1,0.1,"Change: 0.1 (1)","0.1 (1)","Change: 1z","Env SD: 0.1","PB",0.1,1,0.1,"PB","True Imitiation","-1","-1",0.903975968638261
"23","3_sd_env_0.1_env_change_0.1_env_change_rate_1_IL_type_Guided_",2,"G-2000",243.399897490825,0.296654871122639,-0.931150924537731,0.676869085248576,0.520474799378261,29.0407036481759,317.704543722589,-0.0286575469300052,944.298850574713,42.5532233883058,13.1479260369815,0.765979858345349,"D:/Groningen_Research/MS_Data/RedoModes_SL_Improved",793079,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,20000,500,30,10,10,1,0,0.1,0.1,0.05,"random",1,"ChooseParentLearnParent","Guided","Random","true","false","true",10,0.01,"true",0,"3_2",1,0.1,"Change: 0.1 (1)","0.1 (1)","Change: 1z","Env SD: 0.1","PB",0.1,1,0.1,"PB","True Imitiation","-1","-1",0.766120291006462
"24","3_sd_env_0.1_env_change_0.1_env_change_rate_1_IL_type_Guided_",3,"G-2000",187.921932444098,0.600327041570965,-0.105020489755122,0.780476861572914,0.801528171596202,0.37019940029985,337.297274932634,-0.045931708628395,383.062968515742,338.894552723638,278.04247876062,0.557024131835424,"D:/Groningen_Research/MS_Data/RedoModes_SL_Improved",793079,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,20000,500,30,10,10,1,0,0.1,0.1,0.05,"random",1,"ChooseParentLearnParent","Guided","Random","true","false","true",10,0.01,"true",0,"3_3",1,0.1,"Change: 0.1 (1)","0.1 (1)","Change: 1z","Env SD: 0.1","PB",0.1,1,0.1,"PB","True Imitiation","0","-1",0.7
"25","3_sd_env_0.1_env_change_0.1_env_change_rate_1_IL_type_Guided_",4,"G-2000",144.224403125515,0.36461907354031,0.790834582708646,1.11036286722694,0.270800652130617,7.87663018490755,332.931882658321,0.0766090157932508,85.4122938530735,38.3408295852074,876.246876561719,0.433588687985409,"D:/Groningen_Research/MS_Data/RedoModes_SL_Improved",793079,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,20000,500,30,10,10,1,0,0.1,0.1,0.05,"random",1,"ChooseParentLearnParent","Guided","Random","true","false","true",10,0.01,"true",0,"3_4",1,0.1,"Change: 0.1 (1)","0.1 (1)","Change: 1z","Env SD: 0.1","PB",0.1,1,0.1,"PB","True Imitiation","1","1",0.7
"26","3_sd_env_0.1_env_change_0.1_env_change_rate_1_IL_type_Guided_",5,"G-2000",193.527128418472,0.956349707638881,0.0519565217391304,0.347075971750456,0.268884603121219,0.274515742128936,338.066003637381,-0.0677537401759115,359.941529235382,228.160419790105,411.898050974513,0.57143951011778,"D:/Groningen_Research/MS_Data/RedoModes_SL_Improved",793079,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,20000,500,30,10,10,1,0,0.1,0.1,0.05,"random",1,"ChooseParentLearnParent","Guided","Random","true","false","true",10,0.01,"true",0,"3_5",1,0.1,"Change: 0.1 (1)","0.1 (1)","Change: 1z","Env SD: 0.1","PB",0.1,1,0.1,"PB","True Imitiation","0","1",0.7
"27","3_sd_env_0.1_env_change_0.1_env_change_rate_1_IL_type_Guided_",6,"G-2000",186.260162593009,0.455176520486257,0.333068465767116,1.24449917995077,0.310009027556702,22.5264002998501,322.802464985407,0.08415651246013,216.496751624188,233.938030984508,549.565217391304,0.577412218336997,"D:/Groningen_Research/MS_Data/RedoModes_SL_Improved",793079,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,20000,500,30,10,10,1,0,0.1,0.1,0.05,"random",1,"ChooseParentLearnParent","Guided","Random","true","false","true",10,0.01,"true",0,"3_6",1,0.1,"Change: 0.1 (1)","0.1 (1)","Change: 1z","Env SD: 0.1","PB",0.1,1,0.1,"PB","True Imitiation","0","1",0.7
"28","3_sd_env_0.1_env_change_0.1_env_change_rate_1_IL_type_Guided_",7,"G-2000",279.304562516492,0.183355639963253,-0.938753123438281,0.488751177430635,0.258786710014543,37.6420294852574,312.53327028091,-0.00712565324458176,952.813593203398,33.1259370314843,14.0604697651174,0.893778789464491,"D:/Groningen_Research/MS_Data/RedoModes_SL_Improved",793079,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,20000,500,30,10,10,1,0,0.1,0.1,0.05,"random",1,"ChooseParentLearnParent","Guided","Random","true","false","true",10,0.01,"true",0,"3_7",1,0.1,"Change: 0.1 (1)","0.1 (1)","Change: 1z","Env SD: 0.1","PB",0.1,1,0.1,"PB","True Imitiation","-1","-1",0.893679454559985
"29","3_sd_env_0.1_env_change_0.1_env_change_rate_1_IL_type_Guided_",8,"G-2000",279.723905683713,0.232643582892904,-0.936644677661169,0.623445139791604,0.36303440399965,33.6359835082459,315.129596737731,0.00355312585898141,950.461769115442,35.7211394302849,13.8170914542729,0.887613430374095,"D:/Groningen_Research/MS_Data/RedoModes_SL_Improved",793079,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,20000,500,30,10,10,1,0,0.1,0.1,0.05,"random",1,"ChooseParentLearnParent","Guided","Random","true","false","true",10,0.01,"true",0,"3_8",1,0.1,"Change: 0.1 (1)","0.1 (1)","Change: 1z","Env SD: 0.1","PB",0.1,1,0.1,"PB","True Imitiation","-1","-1",0.887647204767362
"30","3_sd_env_0.1_env_change_0.1_env_change_rate_1_IL_type_Guided_",9,"G-2000",283.014266345302,0.209628070393553,-0.95087756121939,0.659753633403848,0.311834253102649,24.514379810095,321.136227266267,-0.0505312167591604,962.388805597201,26.0999500249875,11.5112443778111,0.881418786262717,"D:/Groningen_Research/MS_Data/RedoModes_SL_Improved",793079,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,20000,500,30,10,10,1,0,0.1,0.1,0.05,"random",1,"ChooseParentLearnParent","Guided","Random","true","false","true",10,0.01,"true",0,"3_9",1,0.1,"Change: 0.1 (1)","0.1 (1)","Change: 1z","Env SD: 0.1","PB",0.1,1,0.1,"PB","True Imitiation","-1","-1",0.881290375597031
"31","4_sd_env_0.1_env_change_0.1_env_change_rate_1_IL_type_Guided_",0,"G-2000",269.940616465862,0.00588268363330721,-0.0194502748625687,0.256526617085907,0.288659547477351,39.5104182908546,309.66619091899,0.0169045681159747,343.196901549225,333.056471764118,323.746626686657,0.871643620486735,"D:/Groningen_Research/MS_Data/RedoModes_SL_Improved",655573,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,20000,500,30,10,10,1,0,0.1,0.1,0.05,"random",1,"ChooseParentLearnParent","Guided","Random","true","false","true",10,0.01,"true",0,"4_0",1,0.1,"Change: 0.1 (1)","0.1 (1)","Change: 1z","Env SD: 0.1","PB",0.1,1,0.1,"PB","True Imitiation","0","-1",0.871714847735766
"32","4_sd_env_0.1_env_change_0.1_env_change_rate_1_IL_type_Guided_",1,"G-2000",265.180435543188,0.000821860114724183,-0.0189970014992504,0.212387464509495,0.744348455778811,45.8758265867066,305.654701837581,-0.0248036903246296,349.013993003498,320.969015492254,330.016991504248,0.867497405272946,"D:/Groningen_Research/MS_Data/RedoModes_SL_Improved",655573,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,20000,500,30,10,10,1,0,0.1,0.1,0.05,"random",1,"ChooseParentLearnParent","Guided","Random","true","false","true",10,0.01,"true",0,"4_1",1,0.1,"Change: 0.1 (1)","0.1 (1)","Change: 1z","Env SD: 0.1","PB",0.1,1,0.1,"PB","True Imitiation","0","-1",0.867581731767698
"33","4_sd_env_0.1_env_change_0.1_env_change_rate_1_IL_type_Guided_",2,"G-2000",270.72452259047,0.207070250932284,-0.932005497251374,0.468713620144228,0.392529798754823,41.2223783108446,310.400423377111,0.0348899087259931,947.608195902049,36.7891054472764,15.6026986506747,0.872196746806347,"D:/Groningen_Research/MS_Data/RedoModes_SL_Improved",655573,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,20000,500,30,10,10,1,0,0.1,0.1,0.05,"random",1,"ChooseParentLearnParent","Guided","Random","true","false","true",10,0.01,"true",0,"4_2",1,0.1,"Change: 0.1 (1)","0.1 (1)","Change: 1z","Env SD: 0.1","PB",0.1,1,0.1,"PB","True Imitiation","-1","-1",0.872178329027477
