"","prefix","Replicate","Generation","mean.fitness","mean.prop.SL","Schedule","mean.learning.rate","mean.learning.rate.SL","mean.learning.episodes","mean.best.fitness","environmental.mean.location","perfrom","folder","seed","init_w_range","init_lr_range","init_le_mean","init_prop_sl","mut_rate_w","mut_step_w","lr_homogenous","mut_rate_lr","mut_step_lr","le_homogenous","mut_rate_le","mut_step_le","mut_rate_sl","mut_step_sl","N","G","lifespan","extrapolate_from","nr_replicates","env_sample_size","env_range","init_mean_env","sd_env","env_change","env_change_sd","env_change_type","env_change_rate","SL_type","IL_type","cue_type","sl_homogenous","one_social_parent","success_bias","sl_speed","mut_rate_schedule","differential_learning_rates","schedule_init","file_rep","f","M","f_M","f_M_simple","colSpaces","row","xLabs","Change","Rate","SD","IL","SL","Performance","group"
"3288","395_sd_env_0.25_env_change_0.4_env_change_rate_10_IL_type_Guided_",7,"G-2000",389.750613926537,0.00101286638060735,0,0.279487606993353,1.07314056136002,22.6922538730635,430.768662698701,-0.00811745035728835,0.904752546744389,".",697478,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,20000,500,30,10,10,1,0,0.25,0.4,0.05,"random",10,"ChooseParentLearnParent","Guided","Random","true","false","false",1,0,"true",0,"395_7",0.1,0.4,"Change: 0.4 (0.1)","0.4 (0.1)","Change: 10x","Env SD: 0.25","PB",0.4,10,0.25,"PB","True Imitiation",0.9047794040653,"0.4_0.1_0.25"
"3289","395_sd_env_0.25_env_change_0.4_env_change_rate_10_IL_type_Guided_",8,"G-2000",404.247830467716,0.00124802455153162,0,0.546858110644478,1.22348107017731,26.0158250874563,428.156755536382,0.0195976665167371,0.94412350618543,".",697478,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,20000,500,30,10,10,1,0,0.25,0.4,0.05,"random",10,"ChooseParentLearnParent","Guided","Random","true","false","false",1,0,"true",0,"395_8",0.1,0.4,"Change: 0.4 (0.1)","0.4 (0.1)","Change: 10x","Env SD: 0.25","PB",0.4,10,0.25,"PB","True Imitiation",0.944158477568073,"0.4_0.1_0.25"
"3290","395_sd_env_0.25_env_change_0.4_env_change_rate_10_IL_type_Guided_",9,"G-2000",385.827835023338,0.0380275452391254,0,0.411799696244628,0.0574121837793553,24.0034422788606,430.322877343028,-0.043228207124038,0.896571013462685,".",697478,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,20000,500,30,10,10,1,0,0.25,0.4,0.05,"random",10,"ChooseParentLearnParent","Guided","Random","true","false","false",1,0,"true",0,"395_9",0.1,0.4,"Change: 0.4 (0.1)","0.4 (0.1)","Change: 10x","Env SD: 0.25","PB",0.4,10,0.25,"PB","True Imitiation",0.896600797535054,"0.4_0.1_0.25"
"3291","396_sd_env_0.25_env_change_0.4_env_change_rate_10_IL_type_Guided_",0,"G-2000",405.446785521989,0.00084915204229034,0,0.467237357587806,1.70978060407746,21.886904047976,431.577112273513,-0.0919632206803248,0.93940432620938,".",23267,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,20000,500,30,10,10,1,0,0.25,0.4,0.05,"random",10,"ChooseParentLearnParent","Guided","Random","true","false","false",1,0,"true",0,"396_0",0.1,0.4,"Change: 0.4 (0.1)","0.4 (0.1)","Change: 10x","Env SD: 0.25","PB",0.4,10,0.25,"PB","True Imitiation",0.939453863496441,"0.4_0.1_0.25"
"3292","396_sd_env_0.25_env_change_0.4_env_change_rate_10_IL_type_Guided_",1,"G-2000",398.173374672364,0.00110274454173804,0,0.463422503881759,1.22485510866917,20.3355167416292,433.229428287956,-0.00196826819069466,0.919029980692677,".",23267,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,20000,500,30,10,10,1,0,0.25,0.4,0.05,"random",10,"ChooseParentLearnParent","Guided","Random","true","false","false",1,0,"true",0,"396_1",0.1,0.4,"Change: 0.4 (0.1)","0.4 (0.1)","Change: 10x","Env SD: 0.25","PB",0.4,10,0.25,"PB","True Imitiation",0.919082012147404,"0.4_0.1_0.25"
"3293","396_sd_env_0.25_env_change_0.4_env_change_rate_10_IL_type_Guided_",2,"G-2000",406.503452641079,0.0218727779816473,0,0.650275044054623,0.27905308046915,16.2587221389305,436.976496263468,0.0538939057954523,0.930314333376352,".",23267,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,20000,500,30,10,10,1,0,0.25,0.4,0.05,"random",10,"ChooseParentLearnParent","Guided","Random","true","false","false",1,0,"true",0,"396_2",0.1,0.4,"Change: 0.4 (0.1)","0.4 (0.1)","Change: 10x","Env SD: 0.25","PB",0.4,10,0.25,"PB","True Imitiation",0.930263884023602,"0.4_0.1_0.25"
"3294","396_sd_env_0.25_env_change_0.4_env_change_rate_10_IL_type_Guided_",3,"G-2000",402.473306566667,0.000801914830235312,0,0.295813702442879,1.09251589705427,22.5632098950525,430.985521730835,0.0163364016629685,0.933831179016676,".",23267,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,20000,500,30,10,10,1,0,0.25,0.4,0.05,"random",10,"ChooseParentLearnParent","Guided","Random","true","false","false",1,0,"true",0,"396_3",0.1,0.4,"Change: 0.4 (0.1)","0.4 (0.1)","Change: 10x","Env SD: 0.25","PB",0.4,10,0.25,"PB","True Imitiation",0.933844146203188,"0.4_0.1_0.25"
"3295","396_sd_env_0.25_env_change_0.4_env_change_rate_10_IL_type_Guided_",4,"G-2000",391.469229566167,0.00643562113001149,0,0.408382735846327,0.427193386858321,30.5522653673163,423.898628310145,-0.0096063721890055,0.923475997312733,".",23267,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,20000,500,30,10,10,1,0,0.25,0.4,0.05,"random",10,"ChooseParentLearnParent","Guided","Random","true","false","false",1,0,"true",0,"396_4",0.1,0.4,"Change: 0.4 (0.1)","0.4 (0.1)","Change: 10x","Env SD: 0.25","PB",0.4,10,0.25,"PB","True Imitiation",0.923497278410037,"0.4_0.1_0.25"
"3296","396_sd_env_0.25_env_change_0.4_env_change_rate_10_IL_type_Guided_",5,"G-2000",399.697609390205,0.0353540096466117,0,0.612925574113893,0.14218331554288,26.9908245877061,427.232341255622,0.00774549962558721,0.935545533265813,".",23267,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,20000,500,30,10,10,1,0,0.25,0.4,0.05,"random",10,"ChooseParentLearnParent","Guided","Random","true","false","false",1,0,"true",0,"396_5",0.1,0.4,"Change: 0.4 (0.1)","0.4 (0.1)","Change: 10x","Env SD: 0.25","PB",0.4,10,0.25,"PB","True Imitiation",0.935550918770584,"0.4_0.1_0.25"
"3297","396_sd_env_0.25_env_change_0.4_env_change_rate_10_IL_type_Guided_",6,"G-2000",397.980703590155,0.0371893474464983,0,0.530448938501749,0.0974069426003648,21.9160649675162,431.478023124888,0.0180571585071364,0.922392417231902,".",23267,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,20000,500,30,10,10,1,0,0.25,0.4,0.05,"random",10,"ChooseParentLearnParent","Guided","Random","true","false","false",1,0,"true",0,"396_6",0.1,0.4,"Change: 0.4 (0.1)","0.4 (0.1)","Change: 10x","Env SD: 0.25","PB",0.4,10,0.25,"PB","True Imitiation",0.922366105017039,"0.4_0.1_0.25"
