"","prefix","Replicate","Generation","mean.fitness","mean.prop.SL","Schedule","mean.learning.rate","mean.learning.rate.SL","mean.learning.episodes","mean.best.fitness","environmental.mean.location","perfrom","folder","seed","init_w_range","init_lr_range","init_le_mean","init_prop_sl","mut_rate_w","mut_step_w","lr_homogenous","mut_rate_lr","mut_step_lr","le_homogenous","mut_rate_le","mut_step_le","mut_rate_sl","mut_step_sl","N","G","lifespan","extrapolate_from","nr_replicates","env_sample_size","env_range","init_mean_env","sd_env","env_change","env_change_sd","env_change_type","env_change_rate","SL_type","IL_type","cue_type","sl_homogenous","one_social_parent","success_bias","sl_speed","mut_rate_schedule","differential_learning_rates","schedule_init","file_rep","f","M","f_M","f_M_simple","colSpaces","row","xLabs","Change","Rate","SD","IL","SL","Performance"
"201","117_sd_env_0.1_env_change_0.25_env_change_rate_10_IL_type_Guided_",0,"G-2000",225.967517924104,0.340322081684253,0,0.745868106711444,0.80161986864073,33.4312973513243,315.328881575162,0.0104685725781759,0.716473960283379,".",206570,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,20000,500,30,10,10,1,0,0.1,0.25,0.05,"random",10,"ChooseParentLearnSelf","Guided","Random","true","false","false",1,0,"true",0,"117_0",0.1,0.25,"Change: 0.25 (0.1)","0.25 (0.1)","Change: 10z","Env SD: 0.1","PB",0.25,10,0.1,"PB","Stimulus Enhancement",0.716609010869314
"202","117_sd_env_0.1_env_change_0.25_env_change_rate_10_IL_type_Guided_",1,"G-2000",251.948392042889,0.440411319223138,0,0.49055212901939,0.432384817198051,37.2330954522739,313.07224545937,0.0757668688715942,0.804518643863809,".",206570,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,20000,500,30,10,10,1,0,0.1,0.25,0.05,"random",10,"ChooseParentLearnSelf","Guided","Random","true","false","false",1,0,"true",0,"117_1",0.1,0.25,"Change: 0.25 (0.1)","0.25 (0.1)","Change: 10z","Env SD: 0.1","PB",0.25,10,0.1,"PB","Stimulus Enhancement",0.804761187543808
"203","117_sd_env_0.1_env_change_0.25_env_change_rate_10_IL_type_Guided_",2,"G-2000",237.911695843858,0.218951924233318,0,1.51186504995647,1.26338927810455,35.8455262368816,312.886610710845,0.00368010660228386,0.759214054759747,".",206570,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,20000,500,30,10,10,1,0,0.1,0.25,0.05,"random",10,"ChooseParentLearnSelf","Guided","Random","true","false","false",1,0,"true",0,"117_2",0.1,0.25,"Change: 0.25 (0.1)","0.25 (0.1)","Change: 10z","Env SD: 0.1","PB",0.25,10,0.1,"PB","Stimulus Enhancement",0.760376723386622
"204","117_sd_env_0.1_env_change_0.25_env_change_rate_10_IL_type_Guided_",3,"G-2000",251.795569607702,0.223580001765172,0,1.04391175770855,1.3033191483008,21.9642433783108,323.153008155522,0.0205319192152799,0.77873833492865,".",206570,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,20000,500,30,10,10,1,0,0.1,0.25,0.05,"random",10,"ChooseParentLearnSelf","Guided","Random","true","false","false",1,0,"true",0,"117_3",0.1,0.25,"Change: 0.25 (0.1)","0.25 (0.1)","Change: 10z","Env SD: 0.1","PB",0.25,10,0.1,"PB","Stimulus Enhancement",0.779183740373915
"205","117_sd_env_0.1_env_change_0.25_env_change_rate_10_IL_type_Guided_",4,"G-2000",271.328913254828,0.517470533736232,0,0.61858828732059,0.663715656163568,24.1665977011494,321.234883237131,0.18047268349037,0.844678443345041,".",206570,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,20000,500,30,10,10,1,0,0.1,0.25,0.05,"random",10,"ChooseParentLearnSelf","Guided","Random","true","false","false",1,0,"true",0,"117_4",0.1,0.25,"Change: 0.25 (0.1)","0.25 (0.1)","Change: 10z","Env SD: 0.1","PB",0.25,10,0.1,"PB","Stimulus Enhancement",0.84464336662509
"206","117_sd_env_0.1_env_change_0.25_env_change_rate_10_IL_type_Guided_",5,"G-2000",233.382108044432,0.0218230572426402,0,0.169495329154073,0.182669420999925,22.2001179410295,321.716212385857,0.0337683862606097,0.725462983985962,".",206570,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,20000,500,30,10,10,1,0,0.1,0.25,0.05,"random",10,"ChooseParentLearnSelf","Guided","Random","true","false","false",1,0,"true",0,"117_5",0.1,0.25,"Change: 0.25 (0.1)","0.25 (0.1)","Change: 10z","Env SD: 0.1","PB",0.25,10,0.1,"PB","Stimulus Enhancement",0.725428495858705
"207","117_sd_env_0.1_env_change_0.25_env_change_rate_10_IL_type_Guided_",6,"G-2000",277.092018802004,0.625906132530735,0,0.55869027524043,0.508476427023288,37.9429940029985,312.535662688556,0.117644740369565,0.886768913784296,".",206570,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,20000,500,30,10,10,1,0,0.1,0.25,0.05,"random",10,"ChooseParentLearnSelf","Guided","Random","true","false","false",1,0,"true",0,"117_6",0.1,0.25,"Change: 0.25 (0.1)","0.25 (0.1)","Change: 10z","Env SD: 0.1","PB",0.25,10,0.1,"PB","Stimulus Enhancement",0.886593281606164
"208","117_sd_env_0.1_env_change_0.25_env_change_rate_10_IL_type_Guided_",7,"G-2000",285.371397557241,0.482420665215392,0,0.749936254073563,0.564043745101549,34.9059375312344,313.996266682859,-0.129747450418796,0.908621857091201,".",206570,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,20000,500,30,10,10,1,0,0.1,0.25,0.05,"random",10,"ChooseParentLearnSelf","Guided","Random","true","false","false",1,0,"true",0,"117_7",0.1,0.25,"Change: 0.25 (0.1)","0.25 (0.1)","Change: 10z","Env SD: 0.1","PB",0.25,10,0.1,"PB","Stimulus Enhancement",0.908836912527595
"209","117_sd_env_0.1_env_change_0.25_env_change_rate_10_IL_type_Guided_",8,"G-2000",252.78182280994,0.432701007576962,0,0.543082767965067,0.426702849528336,24.5703023488256,321.285950091454,-0.0817698955449625,0.786308990400265,".",206570,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,20000,500,30,10,10,1,0,0.1,0.25,0.05,"random",10,"ChooseParentLearnSelf","Guided","Random","true","false","false",1,0,"true",0,"117_8",0.1,0.25,"Change: 0.25 (0.1)","0.25 (0.1)","Change: 10z","Env SD: 0.1","PB",0.25,10,0.1,"PB","Stimulus Enhancement",0.786781441074487
"210","117_sd_env_0.1_env_change_0.25_env_change_rate_10_IL_type_Guided_",9,"G-2000",263.829041984313,0.572176537713893,0,0.658902246952674,0.65185751125992,32.4858555722139,316.200089168866,-0.157990715015877,0.834251136709473,".",206570,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,20000,500,30,10,10,1,0,0.1,0.25,0.05,"random",10,"ChooseParentLearnSelf","Guided","Random","true","false","false",1,0,"true",0,"117_9",0.1,0.25,"Change: 0.25 (0.1)","0.25 (0.1)","Change: 10z","Env SD: 0.1","PB",0.25,10,0.1,"PB","Stimulus Enhancement",0.834373711524843
