"","prefix","Replicate","Generation","mean.fitness","mean.prop.SL","Schedule","mean.learning.rate","mean.learning.rate.SL","mean.learning.episodes","mean.best.fitness","environmental.mean.location","perfrom","folder","seed","init_w_range","init_lr_range","init_le_mean","init_prop_sl","mut_rate_w","mut_step_w","lr_homogenous","mut_rate_lr","mut_step_lr","le_homogenous","mut_rate_le","mut_step_le","mut_rate_sl","mut_step_sl","N","G","lifespan","extrapolate_from","nr_replicates","env_sample_size","env_range","init_mean_env","sd_env","env_change","env_change_sd","env_change_type","env_change_rate","SL_type","IL_type","cue_type","sl_homogenous","one_social_parent","success_bias","sl_speed","mut_rate_schedule","differential_learning_rates","schedule_init","file_rep","f","M","f_M","f_M_simple","colSpaces","row","xLabs","Change","Rate","SD","IL","IL_long","SL","Performance"
"21","101_init_prop_sl_0_nr_replicates_5_sd_env_0.1_env_change_0.25_env_change_rate_100_IL_type_Guided_",2,"G-2000",305.492692567486,0,0,2.48657947683458,2.40728451169615,0.0127766116941529,337.173171602949,-0.000837812829447774,0.906092951312095,"D:/IL_only_prelim_data_moreReps",134876,1,1,20,0,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0,0,1000,20000,500,30,5,10,1,0,0.1,0.25,0.05,"random",100,"ChooseParentLearnParent","Guided","Random","true","false","true",1,0,"true",0,"101_2",0.01,0.25,"Change: 0.25 (0.01)","0.25 (0.01)","Change: 100z","Env SD: 0.1","PB",0.25,100,0.1,"SG","Self-guided","True Imitiation",0.906040925839825
"22","101_init_prop_sl_0_nr_replicates_5_sd_env_0.1_env_change_0.25_env_change_rate_100_IL_type_Guided_",3,"G-2000",297.434349405222,0,0,0.641415157162569,1.80779939641129,4.0455932033983,335.265329872814,-0.414388649373463,0.886925532560047,"D:/IL_only_prelim_data_moreReps",134876,1,1,20,0,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0,0,1000,20000,500,30,5,10,1,0,0.1,0.25,0.05,"random",100,"ChooseParentLearnParent","Guided","Random","true","false","true",1,0,"true",0,"101_3",0.01,0.25,"Change: 0.25 (0.01)","0.25 (0.01)","Change: 100z","Env SD: 0.1","PB",0.25,100,0.1,"SG","Self-guided","True Imitiation",0.887161071853318
"23","101_init_prop_sl_0_nr_replicates_5_sd_env_0.1_env_change_0.25_env_change_rate_100_IL_type_Guided_",4,"G-2000",294.172458520795,0,0,0.369644056829655,0.119402253759178,6.99293653173413,332.672282973363,-0.285474397158521,0.883568000523781,"D:/IL_only_prelim_data_moreReps",134876,1,1,20,0,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0,0,1000,20000,500,30,5,10,1,0,0.1,0.25,0.05,"random",100,"ChooseParentLearnParent","Guided","Random","true","false","true",1,0,"true",0,"101_4",0.01,0.25,"Change: 0.25 (0.01)","0.25 (0.01)","Change: 100z","Env SD: 0.1","PB",0.25,100,0.1,"SG","Self-guided","True Imitiation",0.884271018587831
"24","101_init_prop_sl_0_sd_env_0.1_env_change_0.25_env_change_rate_100_IL_type_Guided_",0,"G-2000",303.248067197331,0,0,0.133116659238486,0.115821274025773,0.899062468765617,337.199114237331,0.148733789051474,0.899299499395628,"D:/IL_only_prelim_data_moreReps",134567,1,1,20,0,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0,0,1000,20000,500,30,1,10,1,0,0.1,0.25,0.05,"random",100,"ChooseParentLearnParent","Guided","Random","true","false","true",1,0,"true",0,"101_0",0.01,0.25,"Change: 0.25 (0.01)","0.25 (0.01)","Change: 100z","Env SD: 0.1","PB",0.25,100,0.1,"SG","Self-guided","True Imitiation",0.899314542635174
"25","102_init_prop_sl_0_nr_replicates_5_sd_env_0.1_env_change_0.25_env_change_rate_100_IL_type_Guided_",0,"G-2000",280.600099450305,0,0,1.19864782023518,0.272660035788086,0.415889055472264,338.373614629985,-0.0571226966498251,0.828826380513782,"D:/IL_only_prelim_data_moreReps",145987,1,1,20,0,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0,0,1000,20000,500,30,5,10,1,0,0.1,0.25,0.05,"random",100,"ChooseParentLearnParent","Guided","Random","true","false","true",1,0,"true",0,"102_0",0.01,0.25,"Change: 0.25 (0.01)","0.25 (0.01)","Change: 100z","Env SD: 0.1","PB",0.25,100,0.1,"SG","Self-guided","True Imitiation",0.829261169660477
"26","102_init_prop_sl_0_nr_replicates_5_sd_env_0.1_env_change_0.25_env_change_rate_100_IL_type_Guided_",1,"G-2000",282.734452878346,0,0,0.418015401429835,2.39335574747926,25.9120054972514,320.246012342779,-0.340901036001849,0.882618933876348,"D:/IL_only_prelim_data_moreReps",145987,1,1,20,0,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0,0,1000,20000,500,30,5,10,1,0,0.1,0.25,0.05,"random",100,"ChooseParentLearnParent","Guided","Random","true","false","true",1,0,"true",0,"102_1",0.01,0.25,"Change: 0.25 (0.01)","0.25 (0.01)","Change: 100z","Env SD: 0.1","PB",0.25,100,0.1,"SG","Self-guided","True Imitiation",0.88286642762539
"27","102_init_prop_sl_0_nr_replicates_5_sd_env_0.1_env_change_0.25_env_change_rate_100_IL_type_Guided_",2,"G-2000",291.58986973914,0,0,1.8257415615907,0.240409492976542,5.13625787106447,333.746736709745,-0.248815674134283,0.873272084891973,"D:/IL_only_prelim_data_moreReps",145987,1,1,20,0,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0,0,1000,20000,500,30,5,10,1,0,0.1,0.25,0.05,"random",100,"ChooseParentLearnParent","Guided","Random","true","false","true",1,0,"true",0,"102_2",0.01,0.25,"Change: 0.25 (0.01)","0.25 (0.01)","Change: 100z","Env SD: 0.1","PB",0.25,100,0.1,"SG","Self-guided","True Imitiation",0.873686054922334
"28","102_init_prop_sl_0_nr_replicates_5_sd_env_0.1_env_change_0.25_env_change_rate_100_IL_type_Guided_",3,"G-2000",289.863722547366,0,0,3.08623133986057,0.971267361903598,8.30744327836082,331.623064037731,0.594652524064368,0.87405649167262,"D:/IL_only_prelim_data_moreReps",145987,1,1,20,0,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0,0,1000,20000,500,30,5,10,1,0,0.1,0.25,0.05,"random",100,"ChooseParentLearnParent","Guided","Random","true","false","true",1,0,"true",0,"102_3",0.01,0.25,"Change: 0.25 (0.01)","0.25 (0.01)","Change: 100z","Env SD: 0.1","PB",0.25,100,0.1,"SG","Self-guided","True Imitiation",0.874075883076656
"29","102_init_prop_sl_0_nr_replicates_5_sd_env_0.1_env_change_0.25_env_change_rate_100_IL_type_Guided_",4,"G-2000",298.943325301309,0,0,0.0907521906209045,0.971511007607946,2.41247576211894,337.509135787056,0.314024955851624,0.885252483475585,"D:/IL_only_prelim_data_moreReps",145987,1,1,20,0,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0,0,1000,20000,500,30,5,10,1,0,0.1,0.25,0.05,"random",100,"ChooseParentLearnParent","Guided","Random","true","false","true",1,0,"true",0,"102_4",0.01,0.25,"Change: 0.25 (0.01)","0.25 (0.01)","Change: 100z","Env SD: 0.1","PB",0.25,100,0.1,"SG","Self-guided","True Imitiation",0.885734024959611
"30","102_init_prop_sl_0_sd_env_0.1_env_change_0.25_env_change_rate_100_IL_type_Guided_",0,"G-2000",272.093893897171,0,0,0.797002556175512,0.24265861225706,10.1917931034483,331.175994547476,0.0571298110010994,0.821517354445978,"D:/IL_only_prelim_data_moreReps",145678,1,1,20,0,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0,0,1000,20000,500,30,1,10,1,0,0.1,0.25,0.05,"random",100,"ChooseParentLearnParent","Guided","Random","true","false","true",1,0,"true",0,"102_0",0.01,0.25,"Change: 0.25 (0.01)","0.25 (0.01)","Change: 100z","Env SD: 0.1","PB",0.25,100,0.1,"SG","Self-guided","True Imitiation",0.821599084405149
