"","prefix","Replicate","Generation","mean.fitness","mean.prop.SL","Schedule","mean.learning.rate","mean.learning.rate.SL","mean.learning.episodes","mean.best.fitness","environmental.mean.location","sch_num_n1","sch_num_0","sch_num_1","perfrom","folder","seed","init_w_range","init_lr_range","init_le_mean","init_prop_sl","mut_rate_w","mut_step_w","lr_homogenous","mut_rate_lr","mut_step_lr","le_homogenous","mut_rate_le","mut_step_le","mut_rate_sl","mut_step_sl","N","G","lifespan","extrapolate_from","nr_replicates","env_sample_size","env_range","init_mean_env","sd_env","env_change","env_change_sd","env_change_type","env_change_rate","SL_type","IL_type","cue_type","sl_homogenous","one_social_parent","success_bias","sl_speed","mut_rate_schedule","differential_learning_rates","schedule_init","file_rep","Rate_Mag","Rate_Mag_simple","colSpaces","row","xLabs","Change","Rate","SD","IL","SL","f","M","scheduleMode","Performance"
"21","28_sd_env_0.25_env_change_0.25_env_change_rate_10_IL_type_Guided_",0,"G-2000",403.667292630385,0.00346236957816097,0.00374062968515742,0.404159255709095,4.28795981690555,14.5717656171914,438.458195866567,0.0203348460161119,366.432283858071,263.394802598701,370.172913543228,0.920665671589145,"D:/Groningen_Research/MS_Data/LongRuns_oneEnv_feb21_2024",625359,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,2e+05,500,30,1,10,1,0,0.25,0.25,0.05,"random",10,"ChooseParentLearnParent","Guided","Random","true","false","true",10,0.01,"true",0,"28_0","Change: 0.25 (10)","0.25 (10)","Change: 10z","Env SD: 0.25","PB",0.25,10,0.25,"PB","True Imitiation",0.1,0.25,"1",0.920651721043961
"22","29_sd_env_0.25_env_change_0.25_env_change_rate_10_IL_type_Guided_",0,"G-2000",395.894857092454,0.0024355688308949,-0.017455772113943,0.594498467981909,10.808747896037,13.8595132433783,438.798897291954,-0.00563474904138931,330.690154922539,356.075462268866,313.234382808596,0.902190885378563,"D:/Groningen_Research/MS_Data/LongRuns_oneEnv_feb21_2024",989269,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,2e+05,500,30,1,10,1,0,0.25,0.25,0.05,"random",10,"ChooseParentLearnParent","Guided","Random","true","false","true",10,0.01,"true",0,"29_0","Change: 0.25 (10)","0.25 (10)","Change: 10z","Env SD: 0.25","PB",0.25,10,0.25,"PB","True Imitiation",0.1,0.25,"0",0.902223910624475
"23","3_sd_env_0.25_env_change_0.25_env_change_rate_10_IL_type_Guided_",0,"G-2000",351.741582584958,0.153923034506058,-0.0847606196901549,0.802699090782459,4.47150980451974,0.172784107946027,451.593826101999,-0.0940529193208741,403.411794102949,277.937031484258,318.651174412794,0.778998067222525,"D:/Groningen_Research/MS_Data/LongRuns_oneEnv_feb21_2024",254783,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,2e+05,500,30,1,10,1,0,0.25,0.25,0.05,"random",10,"ChooseParentLearnParent","Guided","Random","true","false","true",10,0.01,"true",0,"3_0","Change: 0.25 (10)","0.25 (10)","Change: 10z","Env SD: 0.25","PB",0.25,10,0.25,"PB","True Imitiation",0.1,0.25,"-1",0.778889263436281
"24","30_sd_env_0.25_env_change_0.25_env_change_rate_10_IL_type_Guided_",0,"G-2000",405.176418796652,0.289409565001299,-0.888050974512744,0.824555545836082,0.305953107105847,21.3217091454273,432.491904337331,0.0569628353237181,918.947026486757,50.1569215392304,30.896051974013,0.936833193407896,"D:/Groningen_Research/MS_Data/LongRuns_oneEnv_feb21_2024",241698,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,2e+05,500,30,1,10,1,0,0.25,0.25,0.05,"random",10,"ChooseParentLearnParent","Guided","Random","true","false","true",10,0.01,"true",0,"30_0","Change: 0.25 (10)","0.25 (10)","Change: 10z","Env SD: 0.25","PB",0.25,10,0.25,"PB","True Imitiation",0.1,0.25,"-1",0.936841625781338
"25","31_sd_env_0.25_env_change_0.25_env_change_rate_10_IL_type_Guided_",0,"G-2000",399.590573992554,0.00164273622228886,0.00917091454272864,0.42081776208071,3.52360621713543,19.657143928036,433.631911347876,0.148883405117346,350.462268865567,289.904547726137,359.633183408296,0.921469620360608,"D:/Groningen_Research/MS_Data/LongRuns_oneEnv_feb21_2024",492024,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,2e+05,500,30,1,10,1,0,0.25,0.25,0.05,"random",10,"ChooseParentLearnParent","Guided","Random","true","false","true",10,0.01,"true",0,"31_0","Change: 0.25 (10)","0.25 (10)","Change: 10z","Env SD: 0.25","PB",0.25,10,0.25,"PB","True Imitiation",0.1,0.25,"1",0.921497158155381
"26","32_sd_env_0.25_env_change_0.25_env_change_rate_10_IL_type_Guided_",0,"G-2000",378.819195289455,0.00503038826296202,0.0505482258870565,0.273315722473613,3.86298741736782,12.7733018490755,440.155590777461,-0.141166406567441,343.570714642679,262.310344827586,394.118940529735,0.860609610111201,"D:/Groningen_Research/MS_Data/LongRuns_oneEnv_feb21_2024",399783,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,2e+05,500,30,1,10,1,0,0.25,0.25,0.05,"random",10,"ChooseParentLearnParent","Guided","Random","true","false","true",10,0.01,"true",0,"32_0","Change: 0.25 (10)","0.25 (10)","Change: 10z","Env SD: 0.25","PB",0.25,10,0.25,"PB","True Imitiation",0.1,0.25,"1",0.860648378043624
"27","33_sd_env_0.25_env_change_0.25_env_change_rate_10_IL_type_Guided_",0,"G-2000",346.843780069425,0.390394722437231,0.110011494252874,1.45413155475912,0.913513580062219,0.140116941529235,451.763745773413,-0.0816643686474663,277.753123438281,334.482258870565,387.764617691154,0.767874958147226,"D:/Groningen_Research/MS_Data/LongRuns_oneEnv_feb21_2024",858595,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,2e+05,500,30,1,10,1,0,0.25,0.25,0.05,"random",10,"ChooseParentLearnParent","Guided","Random","true","false","true",10,0.01,"true",0,"33_0","Change: 0.25 (10)","0.25 (10)","Change: 10z","Env SD: 0.25","PB",0.25,10,0.25,"PB","True Imitiation",0.1,0.25,"1",0.767754790671911
"28","34_sd_env_0.25_env_change_0.25_env_change_rate_10_IL_type_Guided_",0,"G-2000",402.052135924588,0.00403145751398956,-0.12547776111944,0.233722151908296,11.0917879199,19.9185122438781,433.579474327986,0.0897443750988806,418.686656671664,288.104447776112,293.208895552224,0.927256203526312,"D:/Groningen_Research/MS_Data/LongRuns_oneEnv_feb21_2024",819297,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,2e+05,500,30,1,10,1,0,0.25,0.25,0.05,"random",10,"ChooseParentLearnParent","Guided","Random","true","false","true",10,0.01,"true",0,"34_0","Change: 0.25 (10)","0.25 (10)","Change: 10z","Env SD: 0.25","PB",0.25,10,0.25,"PB","True Imitiation",0.1,0.25,"-1",0.927285906575114
"29","35_sd_env_0.25_env_change_0.25_env_change_rate_10_IL_type_Guided_",0,"G-2000",407.23029726012,0.0253128673058096,0.0199875062468766,0.465351590973163,0.0537529461021794,16.4710134932534,436.428832526887,0.0350103994987656,329.464767616192,321.08295852074,349.452273863068,0.933008538972151,"D:/Groningen_Research/MS_Data/LongRuns_oneEnv_feb21_2024",824150,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,2e+05,500,30,1,10,1,0,0.25,0.25,0.05,"random",10,"ChooseParentLearnParent","Guided","Random","true","false","true",10,0.01,"true",0,"35_0","Change: 0.25 (10)","0.25 (10)","Change: 10z","Env SD: 0.25","PB",0.25,10,0.25,"PB","True Imitiation",0.1,0.25,"1",0.933096685895591
"30","36_sd_env_0.25_env_change_0.25_env_change_rate_10_IL_type_Guided_",0,"G-2000",400.591416592604,0.00273552327507386,0.0258385807096452,0.527319756692354,0.553613696265767,24.8549985007496,429.014085672364,0.0989664127628915,327.996001999,318.169415292354,353.834582708646,0.933694686034658,"D:/Groningen_Research/MS_Data/LongRuns_oneEnv_feb21_2024",535489,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,2e+05,500,30,1,10,1,0,0.25,0.25,0.05,"random",10,"ChooseParentLearnParent","Guided","Random","true","false","true",10,0.01,"true",0,"36_0","Change: 0.25 (10)","0.25 (10)","Change: 10z","Env SD: 0.25","PB",0.25,10,0.25,"PB","True Imitiation",0.1,0.25,"1",0.933748867393911
"31","37_sd_env_0.25_env_change_0.25_env_change_rate_10_IL_type_Guided_",0,"G-2000",400.323944453073,0.247981493656722,-0.894551724137931,0.591059863435982,0.225779162333483,21.2063128435782,432.101326242379,0.088906362881964,925.691654172914,43.1684157921039,31.1399300349825,0.926554945748757,"D:/Groningen_Research/MS_Data/LongRuns_oneEnv_feb21_2024",302776,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,2e+05,500,30,1,10,1,0,0.25,0.25,0.05,"random",10,"ChooseParentLearnParent","Guided","Random","true","false","true",10,0.01,"true",0,"37_0","Change: 0.25 (10)","0.25 (10)","Change: 10z","Env SD: 0.25","PB",0.25,10,0.25,"PB","True Imitiation",0.1,0.25,"-1",0.926458495127411
"32","38_sd_env_0.25_env_change_0.25_env_change_rate_10_IL_type_Guided_",0,"G-2000",408.046519584058,0.00305327724472264,-0.0768390804597701,0.592571786884058,5.85447704755072,17.7020444777611,435.45687454028,-0.0252672609326837,403.668665667166,269.501749125437,326.829585207396,0.937054905903855,"D:/Groningen_Research/MS_Data/LongRuns_oneEnv_feb21_2024",6764,1,1,20,0.5,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0.01,0.1,1000,2e+05,500,30,1,10,1,0,0.25,0.25,0.05,"random",10,"ChooseParentLearnParent","Guided","Random","true","false","true",10,0.01,"true",0,"38_0","Change: 0.25 (10)","0.25 (10)","Change: 10z","Env SD: 0.25","PB",0.25,10,0.25,"PB","True Imitiation",0.1,0.25,"-1",0.937053801285926
